TIMECREATED;HISPOTYPE
2022-02-23 07:30:26.176;2
2022-02-23 07:30:26.317;35
2022-02-23 07:30:26.317;35
2022-02-23 07:30:26.333;35
2022-02-23 07:26:37.624;2
2022-02-23 07:26:37.734;27
2022-02-23 07:26:58.018;2
2022-02-23 07:26:58.143;27
2022-02-23 07:27:11.785;2
2022-02-23 07:27:11.957;27
2022-02-23 07:27:14.410;24
2022-02-23 07:27:29.802;2
2022-02-23 07:27:29.974;27
2022-02-23 07:27:46.569;2
2022-02-23 07:27:47.038;27
2022-02-23 07:28:17.244;2
2022-02-23 07:28:17.337;27
2022-02-23 07:28:50.278;2
2022-02-23 07:12:34.203;2
2022-02-23 07:11:45.606;27
2022-02-23 07:12:34.266;35
2022-02-23 07:12:34.266;34
2022-02-23 07:12:34.281;27
2022-02-23 07:12:01.138;2
2022-02-23 07:12:39.407;2
2022-02-23 07:12:39.485;27
2022-02-23 07:12:01.201;27
2022-02-23 07:12:08.139;43
2022-02-23 07:12:57.565;2
2022-02-23 07:12:57.643;27
2022-02-23 07:13:30.864;2
2022-02-23 07:13:30.942;27
2022-02-23 07:13:44.990;2
2022-02-23 07:13:45.053;27
2022-02-23 07:15:31.062;2
2022-02-23 07:15:31.155;27
2022-02-23 07:15:56.236;2
2022-02-23 07:15:56.361;27
2022-02-23 07:16:27.394;2
2022-02-23 07:16:27.472;27
2022-02-23 07:17:32.165;2
2022-02-23 07:20:22.354;2
2022-02-23 07:20:22.432;27
2022-02-23 07:20:27.339;24
2022-02-23 07:20:50.028;2
2022-02-23 07:20:50.107;27
2022-02-23 07:21:35.986;2
2022-02-23 07:21:36.080;27
2022-02-23 07:22:08.599;2
2022-02-23 07:22:08.661;27
2022-02-23 07:22:22.210;2
2022-02-23 07:22:22.303;27
2022-02-23 07:22:24.601;24
2022-02-23 07:22:42.712;2
2022-02-23 07:22:42.805;27
2022-02-23 07:22:57.088;2
2022-02-23 07:22:57.619;27
2022-02-23 07:23:21.106;2
2022-02-23 07:23:21.216;27
2022-02-23 07:24:13.564;2
2022-02-23 07:24:14.002;27
2022-02-23 07:20:04.352;2
2022-02-23 05:48:14.855;43
2022-02-23 05:48:16.543;43
2022-02-23 07:20:04.430;27
2022-02-23 05:48:16.637;43
2022-02-23 05:48:16.699;43
2022-02-23 07:17:32.259;27
2022-02-23 07:07:40.429;2
2022-02-23 07:07:40.586;27
2022-02-23 07:07:47.867;24
2022-02-23 07:08:20.245;2
2022-02-23 08:36:52.145;6
2022-02-23 08:36:52.177;0
2022-02-23 08:48:10.328;1
2022-02-23 08:48:10.437;0
2022-02-23 08:49:02.910;6
2022-02-23 08:49:02.910;0
2022-02-23 08:52:55.024;6
2022-02-23 08:52:55.040;0
2022-02-23 09:07:54.193;1
2022-02-23 09:07:54.255;0
2022-02-23 09:08:32.227;6
2022-02-23 09:08:32.227;0
2022-02-23 09:09:36.123;6
2022-02-23 09:09:36.139;0
2022-02-23 06:51:40.955;27
2022-02-23 06:51:45.846;24
2022-02-23 06:53:20.136;2
2022-02-23 06:51:27.204;2
2022-02-23 06:53:20.214;27
2022-02-23 06:53:24.823;24
2022-02-23 06:51:27.313;27
2022-02-23 06:51:40.893;2
2022-02-23 06:55:46.070;27
2022-02-23 06:57:14.954;2
2022-02-23 06:57:15.017;27
2022-02-23 06:58:04.849;2
2022-02-23 06:58:05.208;27
2022-02-23 06:58:20.491;24
2022-02-23 07:00:09.609;2
2022-02-23 06:55:45.992;2
2022-02-23 07:08:20.667;27
2022-02-23 07:30:26.567;35
2022-02-23 07:30:26.567;35
2022-02-23 07:30:26.583;34
2022-02-23 07:30:26.583;27
2022-02-23 08:36:36.394;1
2022-02-23 08:36:36.456;0
2022-02-23 07:11:32.198;2
2022-02-23 07:11:32.292;27
2022-02-23 07:13:07.315;2
2022-02-23 07:13:07.440;27
2022-02-23 07:14:37.604;2
2022-02-23 06:40:11.692;2
2022-02-23 06:40:11.817;27
2022-02-23 06:40:25.037;2
2022-02-23 06:40:25.147;27
2022-02-23 06:40:29.678;24
2022-02-23 06:44:57.653;2
2022-02-23 06:44:57.716;27
2022-02-23 06:45:04.029;24
2022-02-23 06:45:26.078;2
2022-02-23 06:46:58.509;2
2022-02-23 06:45:26.172;27
2022-02-23 06:46:58.602;27
2022-02-23 06:45:31.266;24
2022-02-23 06:20:25.531;35
2022-02-23 06:31:13.196;43
2022-02-23 06:20:25.531;34
2022-02-23 06:32:05.794;2
2022-02-23 06:20:25.546;27
2022-02-23 07:14:37.698;27
2022-02-23 07:14:42.792;24
2022-02-23 07:16:33.911;2
2022-02-23 07:16:34.036;27
2022-02-23 07:17:20.102;2
2022-02-23 06:03:11.977;43
2022-02-23 06:03:12.086;43
2022-02-23 06:03:13.712;43
2022-02-23 06:03:13.727;43
2022-02-23 06:07:20.732;2
2022-02-23 06:33:05.627;27
2022-02-23 06:32:05.856;27
2022-02-23 06:32:28.936;2
2022-02-23 06:32:28.983;27
2022-02-23 06:33:05.533;2
2022-02-23 07:00:49.800;2
2022-02-23 07:00:09.719;27
2022-02-23 07:00:14.344;24
2022-02-23 07:00:49.894;27
2022-02-23 07:17:20.211;27
2022-02-23 07:19:17.425;2
2022-02-23 07:19:17.503;27
2022-02-23 07:22:10.943;2
2022-02-23 07:22:11.115;35
2022-02-23 07:22:11.115;35
2022-02-23 07:22:11.130;35
2022-02-23 07:22:11.146;35
2022-02-23 07:22:11.146;35
2022-02-23 07:22:11.162;35
2022-02-23 07:22:11.162;35
2022-02-23 07:22:11.177;35
2022-02-23 06:15:43.383;27
2022-02-23 06:15:48.430;24
2022-02-23 06:17:35.158;2
2022-02-23 06:17:35.220;27
2022-02-23 06:47:42.028;2
2022-02-23 06:47:42.106;27
2022-02-23 06:48:17.078;2
2022-02-23 06:48:17.172;27
2022-02-23 06:47:03.759;24
2022-02-23 07:22:11.209;35
2022-02-23 07:22:11.177;35
2022-02-23 07:22:11.193;35
2022-02-23 07:22:11.193;35
2022-02-23 07:22:11.209;35
2022-02-23 07:22:11.209;35
2022-02-23 06:48:47.894;27
2022-02-23 06:48:52.425;24
2022-02-23 06:50:27.433;2
2022-02-23 06:50:27.543;27
2022-02-23 06:50:32.918;24
2022-02-23 06:48:47.784;2
2022-02-23 07:04:02.005;2
2022-02-23 07:04:02.099;27
2022-02-23 07:04:16.725;24
2022-02-23 07:04:36.617;2
2022-02-23 07:04:36.742;27
2022-02-23 07:05:53.389;2
2022-02-23 07:05:53.467;27
2022-02-23 07:30:26.348;35
2022-02-23 07:30:26.364;35
2022-02-23 07:30:26.379;35
2022-02-23 07:30:26.379;35
2022-02-23 07:30:26.364;35
2022-02-23 07:30:26.395;35
2022-02-23 07:30:26.395;35
2022-02-23 07:30:26.473;35
2022-02-23 07:30:26.473;35
2022-02-23 07:30:26.489;35
2022-02-23 07:30:26.504;35
2022-02-23 07:30:26.504;35
2022-02-23 07:30:26.379;35
2022-02-23 07:30:26.520;35
2022-02-23 07:30:26.536;35
2022-02-23 07:30:26.536;35
2022-02-23 07:30:26.551;35
2022-02-23 07:30:26.520;35
2022-02-23 07:30:26.551;35
2022-02-23 07:30:26.520;35
2022-02-23 06:07:20.810;27
2022-02-23 06:07:33.780;24
2022-02-23 06:12:38.040;2
2022-02-23 06:12:38.118;27
2022-02-23 06:15:43.289;2
2022-02-23 06:19:01.477;2
2022-02-23 06:19:01.555;27
2022-02-23 06:20:25.437;2
2022-02-23 06:20:25.515;35
2022-02-23 06:20:25.515;35
2022-02-23 06:33:10.705;24
2022-02-23 06:33:24.987;2
2022-02-23 06:33:25.066;27
2022-02-23 06:33:29.441;24
2022-02-23 06:33:57.084;2
2022-02-23 06:33:57.162;27
2022-02-23 06:34:01.053;24
2022-02-23 07:22:11.224;35
2022-02-23 07:22:11.240;35
2022-02-23 07:22:11.240;35
2022-02-23 07:22:11.256;35
2022-02-23 07:22:11.256;35
2022-02-23 07:22:11.271;35
2022-02-23 07:22:11.271;34
2022-02-23 07:22:11.271;27
2022-02-23 07:30:26.333;35
2022-02-23 07:30:26.348;35
2022-02-23 07:30:26.348;35
2022-02-23 06:34:34.821;2
2022-02-23 06:34:34.884;27
2022-02-23 06:34:38.478;24
2022-02-23 06:39:45.987;2
2022-02-23 06:39:46.050;27
2022-02-23 09:00:51.955;2
2022-02-23 09:00:52.049;27
2022-02-23 09:01:46.819;2
2022-02-23 09:01:46.882;27
2022-02-23 08:58:07.363;27
2022-02-23 09:00:01.342;27
2022-02-23 08:59:47.356;24
2022-02-23 09:00:01.279;2
2022-02-23 09:15:01.713;0
2022-02-23 09:15:55.187;6
2022-02-23 09:15:55.202;0
2022-02-23 09:16:14.329;2
2022-02-23 09:01:58.054;2
2022-02-23 09:14:59.651;43
2022-02-23 09:16:14.407;35
2022-02-23 09:16:14.407;35
2022-02-23 09:15:01.713;6
2022-02-23 09:02:21.509;27
2022-02-23 09:02:46.871;2
2022-02-23 09:02:46.949;35
2022-02-23 09:01:58.101;27
2022-02-23 09:02:10.102;2
2022-02-23 09:02:10.165;27
2022-02-23 09:02:21.447;2
2022-02-23 09:02:46.964;34
2022-02-23 09:02:46.980;27
2022-02-23 09:05:41.791;43
2022-02-23 09:07:39.629;2
2022-02-23 09:07:39.707;35
2022-02-23 09:07:39.707;35
2022-02-23 09:07:39.723;35
2022-02-23 09:07:39.738;35
2022-02-23 09:07:39.738;35
2022-02-23 08:39:39.972;2
2022-02-23 08:39:40.050;27
2022-02-23 08:39:47.223;24
2022-02-23 08:41:24.684;2
2022-02-23 08:41:24.762;27
2022-02-23 08:41:30.200;24
2022-02-23 08:38:55.328;43
2022-02-23 09:10:26.331;0
2022-02-23 09:07:39.738;34
2022-02-23 09:07:39.754;27
2022-02-23 09:14:09.115;6
2022-02-23 09:14:09.131;0
2022-02-23 09:10:26.331;6
2022-02-23 08:49:17.537;2
2022-02-23 08:51:36.986;27
2022-02-23 08:51:43.018;24
2022-02-23 08:49:17.615;27
2022-02-23 08:58:07.285;2
2022-02-23 08:49:23.631;24
2022-02-23 08:51:36.908;2
2022-02-23 06:36:59.208;0
2022-02-23 06:37:09.803;6
2022-02-23 06:37:09.803;0
2022-02-23 09:31:28.328;1
2022-02-23 09:31:28.375;0
2022-02-23 09:31:49.502;1
2022-02-23 09:31:49.549;0
2022-02-23 09:32:19.255;1
2022-02-23 09:32:19.317;0
2022-02-23 09:32:46.007;1
2022-02-23 09:32:46.069;0
2022-02-23 09:33:31.667;0
2022-02-23 09:34:59.034;1
2022-02-23 09:33:10.009;1
2022-02-23 09:34:59.096;0
2022-02-23 09:33:10.087;0
2022-02-23 09:35:50.896;1
2022-02-23 09:33:31.620;1
2022-02-23 09:35:50.974;0
2022-02-23 09:36:46.569;1
2022-02-23 09:36:46.616;0
2022-02-23 09:37:10.210;1
2022-02-23 09:37:10.257;0
2022-02-23 06:35:42.921;1
2022-02-23 06:36:01.125;1
2022-02-23 06:36:01.188;0
2022-02-23 06:35:42.999;0
2022-02-23 06:36:16.423;6
2022-02-23 06:36:16.439;0
2022-02-23 06:36:59.161;1
2022-02-23 09:37:32.508;0
2022-02-23 09:37:53.055;1
2022-02-23 09:37:53.118;0
2022-02-23 09:38:18.228;1
2022-02-23 09:38:18.275;0
2022-02-23 09:38:51.933;1
2022-02-23 09:38:51.979;0
2022-02-23 09:39:22.450;1
2022-02-23 09:39:22.497;0
2022-02-23 09:37:32.461;1
2022-02-23 09:39:45.623;0
2022-02-23 09:40:21.828;1
2022-02-23 09:40:21.875;0
2022-02-23 09:40:45.860;1
2022-02-23 09:40:45.923;0
2022-02-23 09:41:14.940;0
2022-02-23 09:39:45.560;1
2022-02-23 06:47:33.590;0
2022-02-23 06:48:00.436;6
2022-02-23 06:48:00.452;0
2022-02-23 08:48:57.769;43
2022-02-23 09:09:20.856;2
2022-02-23 09:09:20.919;27
2022-02-23 09:09:22.903;24
2022-02-23 09:10:00.485;2
2022-02-23 09:10:00.563;27
2022-02-23 09:11:43.337;35
2022-02-23 09:11:43.337;34
2022-02-23 09:11:43.353;27
2022-02-23 09:11:46.134;24
2022-02-23 09:16:14.423;35
2022-02-23 09:16:14.438;35
2022-02-23 06:38:29.340;0
2022-02-23 06:40:09.817;6
2022-02-23 06:40:09.833;0
2022-02-23 06:40:48.789;6
2022-02-23 06:40:48.805;0
2022-02-23 06:41:30.199;1
2022-02-23 06:41:30.261;0
2022-02-23 06:41:56.404;1
2022-02-23 06:41:56.467;0
2022-02-23 06:42:07.999;1
2022-02-23 06:42:08.046;0
2022-02-23 06:42:21.953;1
2022-02-23 06:42:22.031;0
2022-02-23 06:42:53.752;1
2022-02-23 06:42:53.815;0
2022-02-23 06:38:29.325;6
2022-02-23 06:43:21.458;0
2022-02-23 06:43:39.491;1
2022-02-23 06:43:39.537;0
2022-02-23 06:44:31.901;6
2022-02-23 06:44:31.917;0
2022-02-23 06:43:09.254;1
2022-02-23 06:43:09.301;0
2022-02-23 06:45:44.111;1
2022-02-23 06:45:44.189;0
2022-02-23 06:46:00.222;1
2022-02-23 06:43:21.411;1
2022-02-23 09:10:42.895;2
2022-02-23 09:10:42.973;27
2022-02-23 09:10:02.360;24
2022-02-23 09:10:44.754;24
2022-02-23 09:11:43.243;2
2022-02-23 09:16:14.438;35
2022-02-23 09:16:14.454;35
2022-02-23 09:16:14.454;35
2022-02-23 09:16:14.454;34
2022-02-23 09:16:14.470;27
2022-02-23 06:46:00.316;0
2022-02-23 06:46:15.786;1
2022-02-23 06:46:15.848;0
2022-02-23 06:46:32.475;1
2022-02-23 06:46:32.537;0
2022-02-23 06:46:47.726;1
2022-02-23 06:46:47.789;0
2022-02-23 06:47:01.399;6
2022-02-23 06:47:01.415;0
2022-02-23 06:47:33.512;1
2022-02-23 07:06:06.937;11
2022-02-23 07:06:10.797;8
2022-02-23 07:06:10.813;39
2022-02-23 07:06:20.438;11
2022-02-23 07:06:28.361;11
2022-02-23 07:06:34.330;9
2022-02-23 07:06:41.393;11
