DELIVERYTIME,NOOFLINES,STATUS,TOURNO,Country_EU
2015-04-14 00:00:00.000,1,25,AT05,
2015-04-14 00:00:00.000,1,25,ES05,
2022-02-21 00:00:00.000,196,30,GB05,
2022-02-21 00:00:00.000,2,30,GB05,
2022-02-21 00:00:00.000,78,30,CH05,
2015-04-14 00:00:00.000,3,25,ES05,
2022-02-21 00:00:00.000,4,30,CH05,
2022-02-21 00:00:00.000,51,30,BE05,
2022-02-21 00:00:00.000,57,30,NL05,
2022-02-21 00:00:00.000,2,30,CH05,
2015-04-14 00:00:00.000,3,25,PT05,
2022-02-21 00:00:00.000,10,30,NL05,
2022-02-21 00:00:00.000,3,30,SE01,
2015-04-07 00:00:00.000,4,25,ES05,
2022-02-21 00:00:00.000,96,30,BE05,
2015-04-17 00:00:00.000,19,25,BE05,
2022-02-21 00:00:00.000,47,30,CH05,
2022-02-21 00:00:00.000,0,30,PT05,
2015-04-14 00:00:00.000,175,25,IT05,
2022-02-21 00:00:00.000,21,30,NL05,
2022-02-21 00:00:00.000,4,30,AT05,
2022-02-22 00:00:00.000,2,30,JP05,
2022-02-21 00:00:00.000,22,30,CH05,
2022-02-21 00:00:00.000,148,30,AT05,
2022-02-21 00:00:00.000,78,30,AT05,
2022-02-21 00:00:00.000,2,30,CH05,
2015-04-10 00:00:00.000,1,25,FR05,
2022-02-21 00:00:00.000,12,30,NL05,
2015-04-17 00:00:00.000,23,25,BE05,
2015-04-10 00:00:00.000,3,25,CH05,
2022-02-21 00:00:00.000,18,30,IT05,
2022-02-21 00:00:00.000,12,30,DK05,
2022-02-21 00:00:00.000,4,30,NL05,
2022-02-22 00:00:00.000,84,30,SA05,
2022-02-22 00:00:00.000,1,30,SA05,
2022-02-21 00:00:00.000,5,30,GB05,
2022-02-21 00:00:00.000,112,30,GB05,
2022-02-21 00:00:00.000,1,30,NL05,
2022-02-21 00:00:00.000,58,30,BE05,
2015-04-21 00:00:00.000,6,25,ES05,
2022-02-21 00:00:00.000,3,30,NL05,
2022-02-21 00:00:00.000,23,30,NL05,
2015-04-07 00:00:00.000,222,25,ES05,
2022-02-22 00:00:00.000,4,30,SA05,
2015-04-07 00:00:00.000,1,25,FR05,
2022-02-22 00:00:00.000,12,30,SA05,
2022-02-21 00:00:00.000,1,30,DK05,
2022-02-21 00:00:00.000,5,30,IE05,
2022-02-21 00:00:00.000,9,30,CH05,
2015-04-21 00:00:00.000,23,25,ES05,
2015-04-10 00:00:00.000,3,25,FR05,
2022-02-21 00:00:00.000,54,30,IT05,
2022-02-21 00:00:00.000,6,30,ES05,
2022-02-21 00:00:00.000,107,30,AT05,
2022-02-21 00:00:00.000,20,30,DK05,
2022-02-21 00:00:00.000,134,30,IT05,
2022-02-21 00:00:00.000,3,30,AT05,
2021-10-18 00:00:00.000,3,10, ,
2021-10-18 00:00:00.000,3,10, ,
2022-02-21 00:00:00.000,49,30,BE05,
2022-02-21 00:00:00.000,0,30,PT05,
2015-04-14 00:00:00.000,4,25,ES05,
2022-02-21 00:00:00.000,82,30,DK05,
2022-02-21 00:00:00.000,19,30,BE05,
2022-02-21 00:00:00.000,37,30,FR05,
2022-02-21 00:00:00.000,99,30,FR05,
2022-02-21 00:00:00.000,7,30,GB05,
2022-02-21 00:00:00.000,18,30,BE05,
2015-04-07 00:00:00.000,87,25,FR05,
2022-02-21 00:00:00.000,33,30,BE05,
2022-02-21 00:00:00.000,10,30,GB05,
2022-02-21 00:00:00.000,105,30,ES05,
2022-02-21 00:00:00.000,18,30,NO05,
2022-02-21 00:00:00.000,1,30,NO05,
2022-02-21 00:00:00.000,51,30,FR05,
2022-02-21 00:00:00.000,70,30,IT05,
2015-04-07 00:00:00.000,3,25,FR05,
2022-02-21 00:00:00.000,15,30,CH05,
2015-04-10 00:00:00.000,1,25,FR05,
2015-04-07 00:00:00.000,16,25,BE05,
2015-04-10 00:00:00.000,5,25,FR05,
2022-02-21 00:00:00.000,4,30,FR05,
2022-02-21 00:00:00.000,145,30,ES05,
2022-02-21 00:00:00.000,62,30,AT05,
2022-02-21 00:00:00.000,1,30,ES05,
2015-04-14 00:00:00.000,4,25,ES05,
2022-02-21 00:00:00.000,5,30,ES05,
2022-02-21 00:00:00.000,7,30,ES05,
2022-02-21 00:00:00.000,4,30,ES05,
2022-02-21 00:00:00.000,4,30,ES05,
2022-02-21 00:00:00.000,142,30,BE05,
2022-02-21 00:00:00.000,3,30,ES05,
2022-02-21 00:00:00.000,50,30,AT05,
2022-02-21 00:00:00.000,0,30,PT05,
2022-02-21 00:00:00.000,213,30,BE05,
2015-04-10 00:00:00.000,0,25,NL05,
2022-02-21 00:00:00.000,40,30,IE05,
2022-02-21 00:00:00.000,14,30,ES05,
2022-02-21 00:00:00.000,17,30,PT05,
2022-02-21 00:00:00.000,4,30,ES05,
2015-04-17 00:00:00.000,37,25,GB05,
2022-02-21 00:00:00.000,1,30,ES05,
2022-02-21 00:00:00.000,6,30,FR05,
2015-04-10 00:00:00.000,17,25,IT05,
2022-02-21 00:00:00.000,2,30,ES05,
2022-02-21 00:00:00.000,4,30,ES05,
2015-04-21 00:00:00.000,5,25,FR05,
2022-02-21 00:00:00.000,19,30,GB05,
2022-02-21 00:00:00.000,6,30,GB05,
2022-02-21 00:00:00.000,59,30,PT05,
2022-02-21 00:00:00.000,1,30,PT05,
2015-04-10 00:00:00.000,14,25,DK05,
2022-02-21 00:00:00.000,3,30,GB05,
2022-02-21 00:00:00.000,27,30,LT05,
2022-02-21 00:00:00.000,71,30,IT05,
2022-02-21 00:00:00.000,32,30,AT05,
2022-02-21 00:00:00.000,94,30,BE05,
2022-02-21 00:00:00.000,186,30,GB05,
2022-02-21 00:00:00.000,36,30,NO05,
2022-02-21 00:00:00.000,2,30,ES05,
2020-04-17 00:00:00.000,1,10, ,
2022-02-21 00:00:00.000,3,30,ES05,
2022-02-21 00:00:00.000,2,30,ES05,
2022-02-21 00:00:00.000,3,30,IT05,
2021-12-09 00:00:00.000,1,10, ,
2022-02-21 00:00:00.000,6,30,ES05,
2022-02-21 00:00:00.000,12,30,ES05,
2022-02-21 00:00:00.000,5,30,ES05,
2022-02-21 00:00:00.000,21,30,ES05,
2022-02-21 00:00:00.000,40,30,PT05,
2022-02-21 00:00:00.000,12,30,SE01,
2022-02-21 00:00:00.000,22,30,ES05,
2022-02-21 00:00:00.000,22,30,ES05,
2022-02-21 00:00:00.000,16,30,ES05,
2022-02-21 00:00:00.000,30,30,ES05,
2022-02-21 00:00:00.000,22,30,AT05,
2022-02-21 00:00:00.000,104,30,AT05,
2022-02-21 00:00:00.000,27,30,SE01,
2022-02-21 00:00:00.000,4,30,CH05,
2022-02-21 00:00:00.000,9,30,GB05,
2022-02-21 00:00:00.000,6,30,NO05,
2022-02-21 00:00:00.000,14,30,IT05,
2022-02-21 00:00:00.000,18,30,IE05,
2022-02-21 00:00:00.000,21,30,CH05,
2022-02-21 00:00:00.000,45,30,IT05,
2022-02-21 00:00:00.000,25,30,ES05,
2022-02-21 00:00:00.000,161,30,ES05,
2022-02-21 00:00:00.000,30,30,NL05,
2022-02-21 00:00:00.000,57,30,IT05,
2022-02-21 00:00:00.000,64,30,AT05,
2022-02-21 00:00:00.000,70,30,GB05,
2022-02-21 00:00:00.000,15,30,NL05,
2022-02-21 00:00:00.000,64,30,AT05,
2022-02-21 00:00:00.000,6,30,NL05,
2015-04-21 00:00:00.000,16,25,ES05,
2022-02-21 00:00:00.000,90,30,ES05,
2022-02-21 00:00:00.000,52,30,IT05,
2022-02-21 00:00:00.000,4,30,SE01,
2022-02-21 00:00:00.000,5,30,ES05,
